S no,Description,Event Category,Event Action,Event Label
10,Filter,Filters-rent,property_types,"timeStamp:1424253052327_uid:1641101363_sid:17_count:143_{""city"":""mumbai"",""type"":""Apartment_[_39_]"",""selection"":""true"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":null,\""range\"":{\""f\"":null,\""t\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
11,Filter,Filters-rent,date_added,"timeStamp:1424253081760_uid:1641101363_sid:17_count:144_{""city"":""mumbai"",""value"":""age"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":3,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
12,Filter,Filters-rent,has_parking,"timeStamp:1424253126006_uid:1641101363_sid:17_count:146_{""city"":""mumbai"",""selection"":""deselected"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":3,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
13,Filter,Filters-rent,has_swimming_pool,"timeStamp:1424253150526_uid:1641101363_sid:17_count:147_{""city"":""mumbai"",""selection"":""selected"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":3,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_swimming_pool\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
14,Filter,Filters-rent,has_lift,"timeStamp:1424253168383_uid:1641101363_sid:17_count:148_{""city"":""mumbai"",""selection"":""selected"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":3,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_lift\"":1,\""has_swimming_pool\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
15,Filter,Filters-rent,has_gym,"timeStamp:1424253195230_uid:1641101363_sid:17_count:151_{""city"":""mumbai"",""selection"":""selected"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gym\"":1,\""has_lift\"":1,\""has_swimming_pool\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
16,Filter,Filters-rent,has_refrigerator,"timeStamp:1424253210343_uid:1641101363_sid:17_count:152_{""city"":""mumbai"",""selection"":""selected"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_swimming_pool\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
17,Filter,Filters-rent,has_gas_pipeline,"timeStamp:1424253231983_uid:1641101363_sid:17_count:153_{""city"":""mumbai"",""selection"":""selected"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_swimming_pool\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
18,Filter,Filters-rent,has_sofa,"timeStamp:1424253254016_uid:1641101363_sid:17_count:154_{""city"":""mumbai"",""selection"":""selected"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_sofa\"":1,\""has_swimming_pool\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
19,Filter,Filters-rent,has_washing_machine,"timeStamp:1424253274174_uid:1641101363_sid:17_count:155_{""city"":""mumbai"",""selection"":""selected"",""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_sofa\"":1,\""has_swimming_pool\"":1,\""has_washing_machine\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
