S no,Description,Event Category,Event Action,Event Label
20,Filter,Filters-rent,bathroom_count_plus,"timeStamp:1424253332665_uid:1641101363_sid:17_count:159_{""city"":""mumbai"",""value"":2,""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_sofa\"":1,\""has_swimming_pool\"":1,\""has_washing_machine\"":1,\""bathroom_count\"":2,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
21,Filter,Filters-rent,bathroom_count_minus,"timeStamp:1424253314720_uid:1641101363_sid:17_count:158_{""city"":""mumbai"",""value"":1,""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_sofa\"":1,\""has_swimming_pool\"":1,\""has_washing_machine\"":1,\""bathroom_count\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
22,Filter,Filters-rent,ac_count_plus,"timeStamp:1424253370519_uid:1641101363_sid:17_count:163_{""city"":""mumbai"",""value"":2,""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_sofa\"":1,\""has_swimming_pool\"":1,\""has_washing_machine\"":1,\""ac_count\"":2,\""bathroom_count\"":2,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
23,Filter,Filters-rent,ac_count_minus,"timeStamp:1424253354215_uid:1641101363_sid:17_count:162_{""city"":""mumbai"",""value"":1,""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_sofa\"":1,\""has_swimming_pool\"":1,\""has_washing_machine\"":1,\""ac_count\"":1,\""bathroom_count\"":2,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
24,Filter,Filters-rent,bed_count_plus,"timeStamp:1424253381502_uid:1641101363_sid:17_count:164_{""city"":""mumbai"",""value"":1,""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_sofa\"":1,\""has_swimming_pool\"":1,\""has_washing_machine\"":1,\""ac_count\"":2,\""bathroom_count\"":2,\""bed_count\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
25,Filter,Filters-rent,bed_count_minus,"timeStamp:1424253399041_uid:1641101363_sid:17_count:165_{""city"":""mumbai"",""value"":0,""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_sofa\"":1,\""has_swimming_pool\"":1,\""has_washing_machine\"":1,\""ac_count\"":2,\""bathroom_count\"":2,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
26,Filter,Filters-rent,cupboard_count_plus,"timeStamp:1424253600053_uid:1641101363_sid:17_count:171_{""city"":""mumbai"",""value"":1,""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_sofa\"":1,\""has_swimming_pool\"":1,\""has_washing_machine\"":1,\""ac_count\"":1,\""bathroom_count\"":2,\""cupboard_count\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
27,Filter,Filters-rent,cupboard_count_minus,"timeStamp:1424253449255_uid:1641101363_sid:17_count:169_{""city"":""mumbai"",""value"":1,""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_sofa\"":1,\""has_swimming_pool\"":1,\""has_washing_machine\"":1,\""ac_count\"":1,\""bathroom_count\"":2,\""cupboard_count\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
28,Filter,Filters-rent,tv_count_plus,"timeStamp:1424253613325_uid:1641101363_sid:17_count:172_{""city"":""mumbai"",""value"":1,""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_sofa\"":1,\""has_swimming_pool\"":1,\""has_washing_machine\"":1,\""ac_count\"":1,\""bathroom_count\"":2,\""cupboard_count\"":1,\""tv_count\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
29,Filter,Filters-rent,tv_count_minus,"timeStamp:1424253627783_uid:1641101363_sid:17_count:173_{""city"":""mumbai"",""value"":0,""filters_selected"":""{\""nearby\"":{\""name\"":null,\""lat\"":null,\""lng\"":null,\""rad\"":null},\""loct\"":\""poly\"",\""poly\"":{\""id\"":\""dce9290ec3fe8834a293\"",\""buffer\"":false},\""est\"":{\""id\"":null,\""radius\"":500},\""age\"":{\""since\"":30,\""range\"":{\""t\"":null,\""f\"":null}},\""apartment_types\"":[3,4],\""furnish_types\"":[1],\""property_types\"":[1],\""lease_types\"":[1,2],\""min_rent\"":35000,\""max_rent\"":45000,\""owner_types\"":[1],\""has_gas_pipeline\"":1,\""has_gym\"":1,\""has_lift\"":1,\""has_refrigerator\"":1,\""has_sofa\"":1,\""has_swimming_pool\"":1,\""has_washing_machine\"":1,\""ac_count\"":1,\""bathroom_count\"":2,\""cupboard_count\"":1,\""override_radius\"":true,\""map_arrange\"":\""date_added_in_seconds\"",\""sort_key\"":\""relevance\"",\""sort_order\"":\""true\"",\""page_num\"":1}"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
30,Filter,Filters-rent,filters_applied,"timeStamp:1424253668018_uid:1641101363_sid:17_count:178_{""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
31,Sort,Sorting_options,relevance,"timeStamp:1424253811529_uid:1641101363_sid:17_count:206_{""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
32,Sort,Sorting_options,date_added,"timeStamp:1424253960195_uid:1641101363_sid:17_count:216_{""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
33,Sort,Sorting_options,rent,"timeStamp:1424253874555_uid:1641101363_sid:17_count:210_{""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
34,Shortlist,Features,shortlist-tab,"timeStamp:1424254085858_uid:1641101363_sid:17_count:219_{""shortlisted"":3,""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page_shortlist"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
35,Shortlist,Features,shortlist,"timeStamp:1424254603730_uid:1641101363_sid:18_count:14_{""city"":""mumbai"",""service"":""rent"",""id"":290312,""shortlist_action"":""added"",""source"":""mobile-list-view"",""shortlisted"":[290244,289683],""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
36,Info window > Call Agent,Dedicated Page,call,"timeStamp:1424254375510_uid:1641101363_sid:17_count:222_{""position"":""from_top"",""id"":289683,""number"":""022-3397-7008"",""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""dedicated-page_rent-service"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
37,list > Get alert,SubscribeAlert,open,"timeStamp:1424254664095_uid:1641101363_sid:18_count:15_{""info"":"""",""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
38,Get alert > submit,SubscribeAlert,submit,"timeStamp:1424254790407_uid:1641101363_sid:18_count:17_{""city"":""mumbai"",""service"":""rent"",""subscription_filters"":""{\""loct\"":\""poly\"",\""poly\"":\""dce9290ec3fe8834a293\"",\""max_rent\"":60000,\""sort_key\"":\""date_added\"",\""sort_order\"":\""DESC\""}"",""name"":""Aditi"",""mailing_option"":null,""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""subscribe_full-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
39,Filter,Filters-rent,page,"timeStamp:1424254829784_uid:1641101363_sid:18_count:19_{""page_num"":2,""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
40,Filter,Filters-rent,next_page,"timeStamp:1424254869667_uid:1641101363_sid:18_count:21_{""page_num"":3,""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
41,Filter,Filters-rent,prev_page,"timeStamp:1424254905848_uid:1641101363_sid:18_count:23_{""page_num"":2,""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
42,Filter,Filters-rent,show_nearby_list,"timeStamp:1424254941394_uid:1641101363_sid:18_count:27_{""polygon_id"":""dce9290ec3fe8834a293"",""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
43,Filter,Filters-rent,hide_nearby_list,"timeStamp:1424254972417_uid:1641101363_sid:18_count:29_{""polygon_id"":""dce9290ec3fe8834a293"",""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_results-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
44,Image view,Infowindow-rent,viewed second-image,"timeStamp:1424255100087_uid:1641101363_sid:18_count:37_{""city"":""mumbai"",""flat_id"":290244,""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""slideshow_rent-service"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
45,IMage view,Infowindow-rent,viewed last-image,"timeStamp:1424255100087_uid:1641101363_sid:18_count:37_{""city"":""mumbai"",""flat_id"":290244,""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""slideshow_rent-service"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
46,Contact open,Form,open_crf,"timeStamp:1424255218346_uid:1641101363_sid:18_count:56_{""source"":""listings"",""city"":""mumbai"",""service"":""rent"",""listing_id"":270079,""bhk"":""2_BHK"",""owner"":""Broker"",""fi"":100,""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""dedicated-page_rent-service"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
47,Contact close,Form,submitted_crf,"timeStamp:1424255266360_uid:1641101363_sid:18_count:58_{""source"":""listings"",""city"":""mumbai"",""service"":""rent"",""listing_id"":270079,""bhk"":""2_BHK"",""owner"":""Broker"",""fi"":100,""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""request_id"":1135818,""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""contact_rent-service"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
48,Top left > report,Dedicated Page,landing,"timeStamp:1424255337938_uid:1641101363_sid:18_count:65_{""id"":""289683"",""service"":""rent"",""city"":""mumbai"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""dedicated-page_rent-service"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
49,Report > flat gone,Features,Flag,"timeStamp:1424255383276_uid:1641101363_sid:18_count:71_{""city"":""mumbai"",""service"":""rent"",""id"":""289683"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""report-listing_full-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
50,Share,share,fb,"timeStamp:1424255517569_uid:1641101363_sid:18_count:83_{""City"":""Mumbai"",""Locality"":""Powai"",""BHK"":""1_BHK"",""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_dedicated-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
51,Share,share,twitter,"timeStamp:1424255582006_uid:1641101363_sid:18_count:84_{""City"":""Mumbai"",""Locality"":""Powai"",""BHK"":""1_BHK"",""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_dedicated-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
52,Share,share,gmail,"timeStamp:1424255619437_uid:1641101363_sid:18_count:85_{""City"":""Mumbai"",""Locality"":""Powai"",""BHK"":""1_BHK"",""city"":""mumbai"",""service"":""rent"",""location_type"":""poly"",""polygon_id"":""dce9290ec3fe8834a293"",""polygon_name"":""powai"",""referrer"":"""",""experiments"":""{\""rent_sell_property\"":\""rent_sell\""}"",""device"":""mobile"",""index_view_type"":""map_view"",""page_type"":""rent-service_dedicated-page"",""clid"":""dd882b72-d033-487c-b045-9fbd9aa59d8c""}"
